"NULL_PREDICTORxdataset","NULL_PREDICTORxk_fold","NULL_PREDICTORxresponse_mean","NULL_PREDICTORxresponse_sd","num_training_samples","superset_num_coefficients","NULL_PREDICTORxsuperset_predictor_matrix","NULL_PREDICTORxadded_predictor","added_predictor_coefficient","added_predictor_pvalue","superset_anova_pvalue","NULL_PREDICTORxsuperset_mse","NULL_PREDICTORxsuperset_test_sd","NULL_PREDICTORxmse_diff","NULL_PREDICTORxmse_ratio","RESPONSE_VARIABLExstd_mse_diff","NULL_PREDICTORxstd_mse_ratio","superset_r_sq","superset_r_sq_adj","r_sq_diff","r_sq_ratio","r_sq_adj_diff","r_sq_adj_ratio","aic_diff","aic_ratio","aic_corrected_diff","aic_corrected_ratio","bic_diff","bic_ratio","superset_normality_pvalue","normality_pvalue_diff","normality_pvalue_ratio","added_predictor_vif","mean_vif","max_vif","null_ptransform_pvalue","response_est_ptransform","NULL_PREDICTORxadded_predictor_est_ptransform"
"1625",5,3,1.44398360030511,0.180076367839095,152,2,"TFFFFF","drivers",0.888929208046613,8.83705583171241e-52,3.8389926510714,0.00691039563115243,0.194607539636513,0.0323510457791449,5.68150414330905,0.166237371067791,0.784019543905774,0.78257967419848,-0.784019543905774,0,-0.78257967419848,0,230.950238178406,0.692526867941875,230.841781802567,0.692561379609272,227.92635765756,0.694089604077115,0.564973443542857,-0.564375037167428,0.0010591761122015,0,0,0,0,0.0789203510217606,0.306332837229805
"1626",5,3,1.44398360030511,0.180076367839095,152,2,"FTFFFF","front",0.630769708959886,2.00505522139108e-23,2.37872564425706,0.0162045683469369,0.194607539636513,0.0230568730633604,2.42286252677127,0.118478827215153,0.485796031458124,0.482368005001179,-0.485796031458124,0,-0.482368005001179,0,99.1005604752611,0.839972906109725,98.9921040994221,0.840078714726861,96.0766799544149,0.843325789569022,0.14331368317888,-0.142715276803451,0.00417550063717157,0,0,0,0,-0.697327114261061,0.760638196572026
"1627",5,3,1.44398360030511,0.180076367839095,152,2,"FFTFFF","rear",0.280524934814298,0.000137182464016479,0.453800264342071,0.0311433763765864,0.194607539636513,0.00811806503371083,1.26066746699353,0.0417150591846221,0.0926775090789754,0.0866286924728352,-0.0926775090789754,0,-0.0866286924728352,0,12.7831148085288,0.976014698744639,12.6746584326899,0.97620621313866,9.7592342876826,0.981478310605912,0.00221383240210001,-0.00161542602667119,0.270303377464878,0,0,0,0,-0.745137640133116,-0.190206357450826
"1628",5,3,1.44398360030511,0.180076367839095,152,2,"FFFTFF","kms",-0.289329893690313,2.22939810252076e-05,0.55491530417807,0.0355143312865017,0.194607539636513,0.00374711012379558,1.10550980373435,0.019254701697552,0.113327761533122,0.107416613276676,-0.113327761533122,0,-0.107416613276676,0,16.2825420501748,0.969647923365941,16.1740856743359,0.969835000145079,13.2586615293286,0.975002893834656,0.0446120827340208,-0.044013676358592,0.0134135493963943,0,0,0,0,-0.850124052657862,0.907619288879609
"1629",5,3,1.44398360030511,0.180076367839095,152,2,"FFFFTF","PetrolPrice",-0.325676490068116,8.97390200929734e-08,0.852092674435248,0.035552068439413,0.194607539636513,0.00370937297088433,1.10433634760818,0.0190607875615337,0.174018908264836,0.168512367653269,-0.174018908264836,0,-0.168512367653269,0,27.0598763569136,0.950551449419807,26.9514199810747,0.950725467290697,24.0359958360674,0.955586375621469,3.45214028149035e-05,0.000563884972613913,17.3343585901577,0,0,0,0,-0.963481631845936,1.07671026845156
"1630",5,3,1.44398360030511,0.180076367839095,152,2,"FFFFFT","VanKilled",0.308595156297771,2.27819352229706e-07,0.803047689051541,0.0316373326963826,0.194607539636513,0.00762410871391465,1.24098456045842,0.0391768413914226,0.164002679903298,0.158429364435986,-0.164002679903298,0,-0.158429364435986,0,25.2277404723363,0.953744586221,25.1192840964974,0.953920761443762,22.2038599514901,0.958832420248055,0.0177200244581833,-0.0171216180827545,0.0337700648687573,0,0,0,0,-0.775395173778595,0.557285061412534
"1631",5,3,1.44398360030511,0.180076367839095,152,3,"TTFFFF","front",-0.026850630195749,0.63998273807735,0.00155680145975046,0.00692910222698598,0.194607539636513,-1.87065958335529e-05,0.997300285777182,-9.61247229603404e-05,0.784337482198802,0.781442683302141,-0.000317938293027176,0.999594640954636,0.00113699089633845,1.00145498949652,-1.77608054710686,1.00237017028396,-1.91302957667335,1.00255430996489,-4.79996106795318,1.00648401908024,0.552024065719501,0.0129493778233558,1.02345799509026,2.76871613914861,2.76871613914861,2.76871613914861,0,-0.208250229884034,0.212381880220842
"1632",5,3,1.44398360030511,0.180076367839095,152,3,"TFTFFF","rear",0.02011379923744,0.587682677446896,0.00209151217686698,0.00672244074918548,0.194607539636513,0.000187954881966954,1.02795932146962,0.000965815005513224,0.784446683671859,0.781553350566784,-0.000427139766084994,0.999455489104644,0.00102632363169586,1.00131318435389,-1.69909532093527,1.00226720097464,-1.83604435050177,1.00245126599744,-4.72297584178159,1.00637936029717,0.491241566526275,0.0737318770165813,1.15009291159533,1.11544876974203,1.11544876974203,1.11544876974203,0,0.0950283053077243,-0.160637758196443
"1633",5,3,1.44398360030511,0.180076367839095,152,3,"TFFTFF","kms",0.0540894916206603,0.136397525209725,0.0156791714895044,0.00641853147998274,0.194607539636513,0.000491864151169692,1.07663188265161,0.00252746708626189,0.787221627889079,0.784365542357389,-0.00320208398330502,0.995932423767508,-0.00178586815890969,0.99772316851969,0.270394369125711,0.999640142889395,0.133445339559216,0.999822307033436,-2.75348615172061,1.00370928774948,0.264897191557207,0.30007625198565,2.1328026930812,1.23692331752293,1.23692331752293,1.23692331752293,0,0.0411266220845009,0.88522471882141
"1634",5,3,1.44398360030511,0.180076367839095,152,3,"TFFFTF","PetrolPrice",0.00678029291679455,0.8415148447366,0.000284699784596443,0.00688526515132232,0.194607539636513,2.51304798301114e-05,1.00364989281862,0.000129134153163075,0.784077686813448,0.781179400730407,-5.81429076732531e-05,0.999925845475964,0.00140027346807292,1.00179251202318,-1.95907540933615,1.00261501458052,-2.09602443890265,1.0027993318324,-4.98295593018247,1.00673288172923,0.555277103619487,0.00969633992336927,1.0174621641342,1.29725032449135,1.29725032449135,1.29725032449135,0,0.00756061586173329,1.00672455976875
