"dataset","response_mean","response_sd","predictors","k_fold","test_mean","test_sd","mse","std_mse","std_mse_sqrt","num_training_samples","num_coefficients","r_sq","r_sq_adj"
"1",1,1.23998601476212,0.230578720230437,"FFF",1,1.21937852440638,0.210314492487838,0.0445379506840431,0.211768338725486,0.460182940498108,1488,1,0,0
"2",1,1.23998601476212,0.230578720230437,"TFF",1,1.21937852440638,0.210314492487838,0.000835823017384464,0.00397415797407683,0.0630409230109842,1488,2,0.982634435681364,0.982622749568094
"3",1,1.23998601476212,0.230578720230437,"FTF",1,1.21937852440638,0.210314492487838,0.00329483624379039,0.0156662349076154,0.125164830953489,1488,2,0.935204690806164,0.935161086964176
"4",1,1.23998601476212,0.230578720230437,"TTF",1,1.21937852440638,0.210314492487838,0.000508922839931187,0.00241981821562114,0.0491916478238038,1488,3,0.990112131390487,0.990098814395727
"5",1,1.23998601476212,0.230578720230437,"FFT",1,1.21937852440638,0.210314492487838,0.00242269342942209,0.0115193841411675,0.107328393918699,1488,2,0.952110293285747,0.952078066026854
"6",1,1.23998601476212,0.230578720230437,"TFT",1,1.21937852440638,0.210314492487838,0.000761550248740998,0.00362100699639154,0.0601748036672455,1488,3,0.98448768618598,0.984466794180843
"7",1,1.23998601476212,0.230578720230437,"FTT",1,1.21937852440638,0.210314492487838,0.00078834647254508,0.00374841725465338,0.0612243191440573,1488,3,0.984591349501206,0.984570597109962
"8",1,1.23998601476212,0.230578720230437,"TTT",1,1.21937852440638,0.210314492487838,0.000509372838965172,0.00242195786386251,0.0492133911030576,1488,4,0.990118208609886,0.990098231942655
"9",1,1.23411319824338,0.226435679443062,"FFF",2,1.24286979048133,0.228255025525838,0.0520369798631703,0.22797736761016,0.477469755702034,1488,1,0,0
"10",1,1.23411319824338,0.226435679443062,"TFF",2,1.24286979048133,0.228255025525838,0.000890826301622689,0.00390276752755155,0.0624721340083045,1488,2,0.982227070336623,0.982215110087859
"11",1,1.23411319824338,0.226435679443062,"FTF",2,1.24286979048133,0.228255025525838,0.00334533078860675,0.0146561101158672,0.121062422393851,1488,2,0.933058251416553,0.933013203133523
"12",1,1.23411319824338,0.226435679443062,"TTF",2,1.24286979048133,0.228255025525838,0.000493266036809463,0.00216103034609254,0.0464868835919611,1488,3,0.989652471533565,0.98963853546829
"13",1,1.23411319824338,0.226435679443062,"FFT",2,1.24286979048133,0.228255025525838,0.00247617068183171,0.0108482635864305,0.104154997894631,1488,2,0.950577406564116,0.950544147752921
"14",1,1.23411319824338,0.226435679443062,"TFT",2,1.24286979048133,0.228255025525838,0.000783263865364176,0.00343152955147318,0.0585792587139269,1488,3,0.983988554819201,0.983966990583267
"15",1,1.23411319824338,0.226435679443062,"FTT",2,1.24286979048133,0.228255025525838,0.000799864865665087,0.00350425960533581,0.059196787120044,1488,3,0.984064635636394,0.984043173866207
"16",1,1.23411319824338,0.226435679443062,"TTT",2,1.24286979048133,0.228255025525838,0.000492755887779587,0.00215879535026408,0.0464628383793336,1488,4,0.989653374770336,0.989632458412055
"17",1,1.23414600419768,0.225575762234721,"FFF",3,1.24273856666414,0.231647473912805,0.0535901355037673,0.231343491895531,0.480981799962879,1488,1,0,0
