"dataset" "k_fold" "response_mean" "response_sd" "num_training_samples" "superset_num_coefficients" "superset_predictor_matrix" "added_predictor" "added_predictor_coefficient" "added_predictor_pvalue" "superset_anova_pvalue" "superset_mse" "superset_test_sd" "mse_diff" "mse_ratio" "std_mse_diff" "std_mse_ratio" "superset_r_sq" "superset_r_sq_adj" "r_sq_diff" "r_sq_ratio" "r_sq_adj_diff" "r_sq_adj_ratio" "aic_diff" "aic_ratio" "aic_corrected_diff" "aic_corrected_ratio" "bic_diff" "bic_ratio" "superset_normality_pvalue" "normality_pvalue_diff" "normality_pvalue_ratio" "added_predictor_vif" "mean_vif" "max_vif" "null_ptransform_pvalue" "response_est_ptransform" "added_predictor_est_ptransform"
"1" 1 1 0.240195055786419 0.230578720230437 1488 2 "100" "SMI" 0.922304059090908 0 77.6857560887176 0.000835823017384466 0.210314492487838 0.0437021276666587 53.2863414355534 0.207794180751409 53.2863414355534 0.982634435681364 0.982622749568094 -0.982634435681364 0 -0.982622749568094 0 6029.25995061012 0.419958790835141 6029.24916532343 0.419958325327984 6023.95476239473 0.419877004111275 1.1049238524165e-17 -1.1049238524165e-17 3.88897339438953e-22 0 0 0 1 0.615433067604624 0.773123093289954
"2" 1 1 0.240195055786419 0.230578720230437 1488 2 "010" "CAC" 1.04992946679869 0 73.9360242882337 0.00329483624379038 0.210314492487838 0.0412431144402527 13.5175005337463 0.19610210381787 13.5175005337463 0.935204690806164 0.935161086964176 -0.935204690806164 0 -0.935161086964176 0 4069.94483603546 0.517505908616178 4069.93405074876 0.517505646477947 4064.63964782006 0.517527956431041 2.03630456183657e-21 -2.03630456183657e-21 2.11020470385756e-18 0 0 0 1 0.43434635603779 0.265390777663761
"3" 1 1 0.240195055786419 0.230578720230437 1488 2 "001" "FTSE" 0.883884724091231 0 75.2725584692804 0.00242269342942209 0.210314492487838 0.042115257254621 18.3836510815432 0.200248954584318 18.3836510815432 0.952110293285747 0.952078066026854 -0.952110293285747 0 -0.952078066026854 0 4519.81577693531 0.491303496526874 4519.80499164862 0.491303168225882 4514.51058871992 0.491293098943298 8.89363601568313e-26 -8.8936360156827e-26 4.83156659132074e-14 0 0 0 1 0.504168266654732 0.813905548523123
"4" 1 1 0.240195055786419 0.230578720230437 1488 3 "110" "CAC" 0.294251332432629 7.82194960803453e-184 0.591176559532842 0.000508922839931187 0.210314492487838 0.000326900177453279 1.64233740717449 0.0015543397584557 1.64233740717449 0.990112131390487 0.990098814395727 -0.00747769570912327 0.992447627423147 -0.00747606482763263 0.992449173033102 836.012688737148 0.925559060430116 835.999193497237 0.925559994091979 830.707500521756 0.925926474872247 1.43630875568073e-10 -1.43630864518834e-10 7.69280176039049e-08 9.82325719826158 9.82325719826158 9.82325719826158 1 0.713195372195542 0.432327282097958
"5" 1 1 0.240195055786419 0.230578720230437 1488 3 "101" "FTSE" -0.281537216204601 2.55754373978319e-38 0.146515490852951 0.000761550248740999 0.210314492487838 7.42727686434662e-05 1.09752838866018 0.000353150977685293 1.09752838866018 0.98448768618598 0.984466794180843 -0.0018532505046156 0.998117548314093 -0.00184404461274845 0.9981268595105 165.928292084031 0.984287786220493 165.914796844119 0.984289003972154 160.623103868638 0.984767192119831 6.19485620149689e-10 -6.19485609100451e-10 1.78361501296755e-08 52.1234917109661 52.1234917109661 52.1234917109661 1 0.596037241869887 0.912601068747912
"6" 1 1 0.240195055786419 0.230578720230437 1488 3 "110" "SMI" 0.683315839461636 0 4.34090836001668 0.000508922839931187 0.210314492487838 0.0027859134038592 6.47413710934233 0.0132464166919942 6.47413710934233 0.990112131390487 0.990098814395727 -0.0549074405843233 0.944544219948893 -0.0549377274315508 0.94451288433763 2795.32780331181 0.751096088746357 2795.3143080719 0.751096394319266 2790.02261509642 0.751215909141857 1.43630875568073e-10 -1.43630875566036e-10 1.4177345600539e-11 9.82325719826158 9.82325719826158 9.82325719826158 1 0.713195372195542 0.855859461001641
"7" 1 1 0.240195055786419 0.230578720230437 1488 3 "011" "FTSE" 0.506743863050685 0 3.90444277353196 0.00078834647254508 0.210314492487838 0.0025064897712453 4.1794266335123 0.011917817652962 4.1794266335123 0.984591349501206 0.984570597109962 -0.0493866586950417 0.949840450334993 -0.0494095101457852 0.94981618353136 2135.2205593372 0.798000838508562 2135.20706409729 0.798001342572435 2129.91537112181 0.798198882199008 2.35048774939117e-06 -2.35048774939117e-06 8.66332769598148e-16 6.33670304163838 6.33670304163838 6.33670304163838 1 0.61530559620535 0.916893861799582
"8" 1 1 0.240195055786419 0.230578720230437 1488 4 "111" "FTSE" -0.0182952339266781 0.339568487105721 0.000480456787103178 0.000509372838965172 0.210314492487838 -4.49999033985226e-07 0.999116562565646 -2.13964824136506e-06 0.999116562565646 0.990118208609886 0.990098231942655 -6.07721939815953e-06 0.999993862127425 5.82453072217604e-07 1.00000058827807 -1.08517367021159 1.0000966362773 -1.10138434537475 1.00009808035598 -6.39036188560567 1.00057014835537 1.13684203413401e-10 2.99466721546716e-11 1.26341981784201 67.122329784455 61.2754609395441 104.054096410483 1 0.666674822316883 0.959161390223881
"9" 1 1 0.240195055786419 0.230578720230437 1488 3 "101" "SMI" 1.20869247538838 0 2.55971311029008 0.000761550248740999 0.210314492487838 0.00166114318068109 3.18126536420585 0.00789837714477593 3.18126536420585 0.98448768618598 0.984466794180843 -0.032377392900233 0.967112445026441 -0.0323887281539887 0.9671002329937 1675.37246575884 0.841354298223168 1675.35897051893 0.841354968744774 1670.06727754345 0.841617965454198 6.19485620149689e-10 -6.19485620149689e-10 1.43564850036941e-16 52.1234917109661 52.1234917109661 52.1234917109661 1 0.596037241869887 0.751733459355862
"10" 1 1 0.240195055786419 0.230578720230437 1488 3 "011" "CAC" 0.492553642957503 0 2.56790859248526 0.00078834647254508 0.210314492487838 0.00163434695687701 3.07313283409606 0.0077709668865141 3.07313283409606 0.984591349501206 0.984570597109962 -0.032481056215459 0.967010621988591 -0.0324925310831073 0.966998271958879 1685.34961843734 0.840560166838251 1685.33612319743 0.840560833689455 1680.04443022195 0.840822387325393 2.35048774939117e-06 -2.35048774939117e-06 3.78374063765564e-20 6.33670304163838 6.33670304163838 6.33670304163838 1 0.61530559620535 0.371155581315656
