"dataset" "response_mean" "response_sd" "predictors" "k_fold" "sse" "test_mean" "test_sd" "mse" "mse_sqrt" "standardized_mse" "standardized_mse_sqrt" "num_training_samples" "num_coefficients" "r_squared" "r_squared_adjusted"
"1" 1 2550.37309811828 1103.03095290235 "000" 1 379149179.423324 2451.79201612903 1006.0919534387 1019218.22425625 1009.5633829811 1013.04679037804 31.8283959755757 1488 1 0 0
"2" 1 2522.27901209678 1083.21168153575 "000" 2 442988011.611808 2564.16836021505 1091.91497835923 1190827.98820378 1091.25065324323 1090.5867323051 33.0240326475296 1488 1 0 0
"3" 1 2522.43594758065 1079.09805259035 "000" 3 456209942.068973 2563.54061827957 1108.14360333038 1226370.81201337 1107.41627765415 1106.68942935525 33.266941989838 1488 1 0 0
"4" 1 2533.00728494624 1086.04456173795 "000" 4 433729759.568385 2521.2552688172 1081.17733408581 1165940.21389351 1079.78711508033 1078.39868367142 32.8389811606788 1488 1 0 0
"5" 1 2525.18906586021 1072.44360894786 "000" 5 477429688.749235 2552.52814516129 1134.07364687337 1283413.14179902 1132.87825550631 1131.6841241637 33.6405131376395 1488 1 0 0
"6" 1 2550.37309811828 1103.03095290235 "100" 1 7115316.40583508 2451.79201612903 1006.0919534387 19127.1946393416 138.301101367059 19.0113782084901 4.36020391822333 1488 2 0.982634435681364 0.982622749568094
"7" 1 2522.27901209678 1083.21168153575 "100" 2 7583556.40709726 2564.16836021505 1091.91497835923 20385.9043201539 142.779215294643 18.6698641599248 4.32086382103449 1488 2 0.982227070336622 0.982215110087858
"8" 1 2522.43594758065 1079.09805259035 "100" 3 7021163.65138618 2563.54061827957 1108.14360333038 18874.0958370596 137.383026015078 17.03217505415 4.12700557961217 1488 2 0.981794071088574 0.981781819454044
"9" 1 2533.00728494624 1086.04456173795 "100" 4 7923172.9925347 2521.2552688172 1081.17733408581 21298.8521304696 145.941262604068 19.6996842784157 4.43843263758905 1488 2 0.982541806012788 0.982530057564614
"10" 1 2525.18906586021 1072.44360894786 "100" 5 9151626.49047297 2552.52814516129 1134.07364687337 24601.1464797661 156.847526215003 21.6927238787279 4.65754483378614 1488 2 0.98278379659494 0.982772210993725
"11" 1 2550.37309811828 1103.03095290235 "010" 1 28048763.7841613 2451.79201612903 1006.0919534387 75399.9026455948 274.590427082946 74.9433512393051 8.65698280229926 1488 2 0.935204690806164 0.935161086964176
"12" 1 2522.27901209678 1083.21168153575 "010" 2 28478621.1291543 2564.16836021505 1091.91497835923 76555.433142888 276.686525047549 70.1111667667794 8.37324111481208 1488 2 0.933058251416553 0.933013203133523
"13" 1 2522.43594758065 1079.09805259035 "010" 3 29769836.4214106 2563.54061827957 1108.14360333038 80026.4419930393 282.889451894268 72.2166709734462 8.49803924287516 1488 2 0.933294063386934 0.933249173792982
"14" 1 2533.00728494624 1086.04456173795 "010" 4 28399967.506878 2521.2552688172 1081.17733408581 76343.9986744034 276.30417780845 70.6119119107839 8.40308942656116 1488 2 0.933358155233173 0.933313308769669
"15" 1 2525.18906586021 1072.44360894786 "010" 5 30644190.1883894 2552.52814516129 1134.07364687337 82376.8553451327 287.013684943998 72.638012154012 8.5227936824736 1488 2 0.932976141452759 0.932931037914033
"16" 1 2550.37309811828 1103.03095290235 "110" 1 4332432.77218923 2451.79201612903 1006.0919534387 11646.3246564227 107.918138681237 11.5758053889776 3.40232352796991 1488 3 0.990112131390487 0.990098814395727
"17" 1 2522.27901209678 1083.21168153575 "110" 2 4199147.24906073 2564.16836021505 1091.91497835923 11288.0302394106 106.245142192058 10.3378289181202 3.21524943326644 1488 3 0.989652471533565 0.98963853546829
"18" 1 2522.43594758065 1079.09805259035 "110" 3 4673687.69249229 2563.54061827957 1108.14360333038 12563.6765927212 112.087807511438 11.3375888783392 3.36713362941526 1488 3 0.9898521670149 0.989838499899769
"19" 1 2533.00728494624 1086.04456173795 "110" 4 4404661.61466238 2521.2552688172 1081.17733408581 11840.488211458 108.814007423024 10.9514765415146 3.3093015186765 1488 3 0.989837396742165 0.98982370973441
"20" 1 2525.18906586021 1072.44360894786 "110" 5 4832272.20631347 2552.52814516129 1134.07364687337 12989.9790492298 113.973589261854 11.4542640903816 3.38441488153885 1488 3 0.989807633799222 0.989793906706696
"21" 1 2550.37309811828 1103.03095290235 "001" 1 20624258.8994729 2451.79201612903 1006.0919534387 55441.5561813788 235.460307018781 55.1058538853099 7.42333172405153 1488 2 0.952110293285747 0.952078066026854
"22" 1 2522.27901209678 1083.21168153575 "001" 2 21079507.873831 2564.16836021505 1091.91497835923 56665.3437468576 238.044835581152 51.895380931587 7.20384487142713 1488 2 0.950577406564116 0.950544147752921
