"dataset" "response_mean" "response_sd" "predictors" "k_fold" "test_mean" "test_sd" "mse" "std_mse" "std_mse_sqrt" "num_training_samples" "num_coefficients" "r_sq" "r_sq_adj"
"1" 1 0.240195055786419 0.230578720230437 "000" 1 0.219587565430684 0.210314492487838 0.0445379506840431 0.211768338725486 0.460182940498108 1488 1 0 0
"2" 1 0.240195055786419 0.230578720230437 "100" 1 0.219587565430684 0.210314492487838 0.000835823017384466 0.00397415797407684 0.0630409230109842 1488 2 0.982634435681364 0.982622749568094
"3" 1 0.240195055786419 0.230578720230437 "010" 1 0.219587565430684 0.210314492487838 0.00329483624379038 0.0156662349076154 0.125164830953489 1488 2 0.935204690806164 0.935161086964176
"4" 1 0.240195055786419 0.230578720230437 "110" 1 0.219587565430684 0.210314492487838 0.000508922839931187 0.00241981821562114 0.0491916478238038 1488 3 0.990112131390487 0.990098814395727
"5" 1 0.240195055786419 0.230578720230437 "001" 1 0.219587565430684 0.210314492487838 0.00242269342942209 0.0115193841411675 0.107328393918699 1488 2 0.952110293285747 0.952078066026854
"6" 1 0.240195055786419 0.230578720230437 "101" 1 0.219587565430684 0.210314492487838 0.000761550248740999 0.00362100699639155 0.0601748036672455 1488 3 0.98448768618598 0.984466794180843
"7" 1 0.240195055786419 0.230578720230437 "011" 1 0.219587565430684 0.210314492487838 0.00078834647254508 0.00374841725465337 0.0612243191440572 1488 3 0.984591349501206 0.984570597109962
"8" 1 0.240195055786419 0.230578720230437 "111" 1 0.219587565430684 0.210314492487838 0.000509372838965172 0.00242195786386251 0.0492133911030576 1488 4 0.990118208609886 0.990098231942655
"9" 1 0.234322239267682 0.226435679443062 "000" 2 0.243078831505629 0.228255025525838 0.0520369798631703 0.22797736761016 0.477469755702034 1488 1 0 0
"10" 1 0.234322239267682 0.226435679443062 "100" 2 0.243078831505629 0.228255025525838 0.000890826301622686 0.00390276752755153 0.0624721340083043 1488 2 0.982227070336623 0.982215110087859
"11" 1 0.234322239267682 0.226435679443062 "010" 2 0.243078831505629 0.228255025525838 0.00334533078860675 0.0146561101158672 0.121062422393851 1488 2 0.933058251416553 0.933013203133523
"12" 1 0.234322239267682 0.226435679443062 "110" 2 0.243078831505629 0.228255025525838 0.00049326603680946 0.00216103034609253 0.046486883591961 1488 3 0.989652471533565 0.98963853546829
"13" 1 0.234322239267682 0.226435679443062 "001" 2 0.243078831505629 0.228255025525838 0.00247617068183171 0.0108482635864305 0.104154997894631 1488 2 0.950577406564116 0.950544147752921
"14" 1 0.234322239267682 0.226435679443062 "101" 2 0.243078831505629 0.228255025525838 0.000783263865364172 0.00343152955147316 0.0585792587139267 1488 3 0.983988554819201 0.983966990583267
"15" 1 0.234322239267682 0.226435679443062 "011" 2 0.243078831505629 0.228255025525838 0.000799864865665087 0.00350425960533581 0.059196787120044 1488 3 0.984064635636393 0.984043173866207
"16" 1 0.234322239267682 0.226435679443062 "111" 2 0.243078831505629 0.228255025525838 0.000492755887779585 0.00215879535026407 0.0464628383793335 1488 4 0.989653374770336 0.989632458412055
"17" 1 0.23435504522198 0.225575762234721 "000" 3 0.242947607688439 0.231647473912805 0.0535901355037674 0.231343491895531 0.480981799962879 1488 1 0 0
"18" 1 0.23435504522198 0.225575762234721 "100" 3 0.242947607688439 0.231647473912805 0.000824763067997811 0.00356042331939377 0.059669282879835 1488 2 0.981794071088574 0.981781819454044
"19" 1 0.23435504522198 0.225575762234721 "010" 3 0.242947607688439 0.231647473912805 0.00349700745343946 0.0150962468718989 0.122866785063738 1488 2 0.933294063386934 0.933249173792982
"20" 1 0.23435504522198 0.225575762234721 "110" 3 0.242947607688439 0.231647473912805 0.000549009422300322 0.00237002119223185 0.0486828634350101 1488 3 0.989852167014901 0.989838499899769
"21" 1 0.23435504522198 0.225575762234721 "001" 3 0.242947607688439 0.231647473912805 0.00234405658967292 0.0101190682120507 0.100593579377865 1488 2 0.949579223507414 0.949545292971416
"22" 1 0.23435504522198 0.225575762234721 "101" 3 0.242947607688439 0.231647473912805 0.00074410756089983 0.00321224120570346 0.0566766372123776 1488 3 0.983701070135246 0.983679118714553
"23" 1 0.23435504522198 0.225575762234721 "011" 3 0.242947607688439 0.231647473912805 0.000888836606862433 0.00383702266141267 0.0619437055834785 1488 3 0.984380983343487 0.984359947630818
"24" 1 0.23435504522198 0.225575762234721 "111" 3 0.242947607688439 0.231647473912805 0.000548528781765864 0.00236794631299254 0.0486615486086555 1488 4 0.989852713043858 0.989832199660523
"25" 1 0.236564888413115 0.227027867622253 "000" 4 0.2341082349239 0.226010417368343 0.0509494301721554 0.225429565439544 0.474794234842362 1488 1 0 0
"26" 1 0.236564888413115 0.227027867622253 "100" 4 0.2341082349239 0.226010417368343 0.000930720431834714 0.0041180421799667 0.0641719734772642 1488 2 0.982541806012788 0.982530057564614
"27" 1 0.236564888413115 0.227027867622253 "010" 4 0.2341082349239 0.226010417368343 0.00333609149352138 0.0147607863936836 0.121493976779442 1488 2 0.933358155233173 0.933313308769669
"28" 1 0.236564888413115 0.227027867622253 "110" 4 0.2341082349239 0.226010417368343 0.000517407428052746 0.00228930787384679 0.0478467122574455 1488 3 0.989837396742165 0.98982370973441
"29" 1 0.236564888413115 0.227027867622253 "001" 4 0.2341082349239 0.226010417368343 0.00240361947906755 0.0106349942053787 0.103126108262548 1488 2 0.950509740117072 0.95047643576991
"30" 1 0.236564888413115 0.227027867622253 "101" 4 0.2341082349239 0.226010417368343 0.000856409495025561 0.00378924788068427 0.0615568670473431 1488 3 0.984454403091498 0.984433466260645
"31" 1 0.236564888413115 0.227027867622253 "011" 4 0.2341082349239 0.226010417368343 0.000736214086242089 0.00325743430242968 0.0570739371554975 1488 3 0.983847993212694 0.983826239668199
"32" 1 0.236564888413115 0.227027867622253 "111" 4 0.2341082349239 0.226010417368343 0.000519959444698173 0.00230059946241666 0.0479645646536759 1488 4 0.989850709667679 0.989830192234393
"33" 1 0.234930559887163 0.224184710519541 "000" 5 0.240645549027706 0.237067916775202 0.0560827797780102 0.236568408500381 0.486382985414149 1488 1 0 0
"34" 1 0.234930559887163 0.224184710519541 "100" 5 0.240645549027706 0.237067916775202 0.00107502458512876 0.00453466921948847 0.0673399526246378 1488 2 0.982783796594939 0.982772210993725
"35" 1 0.234930559887163 0.224184710519541 "010" 5 0.240645549027706 0.237067916775202 0.0035997161682871 0.0151843244638645 0.123224690966805 1488 2 0.932976141452759 0.932931037914033
"36" 1 0.234930559887163 0.224184710519541 "110" 5 0.240645549027706 0.237067916775202 0.000567638050922345 0.00239441109806775 0.0489327201171951 1488 3 0.989807633799222 0.989793906706696
"37" 1 0.234930559887163 0.224184710519541 "001" 5 0.240645549027706 0.237067916775202 0.00298823014767613 0.012604953839071 0.112271785587791 1488 2 0.952108318174024 0.952076089585985
"38" 1 0.234930559887163 0.224184710519541 "101" 5 0.240645549027706 0.237067916775202 0.000944380703710394 0.00398358713636437 0.0631156647462765 1488 3 0.984468639005844 0.98444772134794
"39" 1 0.234930559887163 0.224184710519541 "011" 5 0.240645549027706 0.237067916775202 0.000871195888667684 0.00367487891452554 0.0606207795605231 1488 3 0.984087252184008 0.984065820873818
"40" 1 0.234930559887163 0.224184710519541 "111" 5 0.240645549027706 0.237067916775202 0.000567337183159036 0.00239314197752457 0.0489197503828931 1488 4 0.989810952248731 0.989790354443304
"41" 2 0.487483530961792 0.230879108173417 "000000" 1 0.550434782608696 0.212747199955906 0.0483190037512087 0.227119340518809 0.476570394085501 198 1 0 0
"42" 2 0.487483530961792 0.230879108173417 "100000" 1 0.550434782608696 0.212747199955906 0.0482363060171417 0.226730626899621 0.47616239551189 198 2 0.00737296138911076 0.00230853772272877
"43" 2 0.487483530961792 0.230879108173417 "010000" 1 0.550434782608696 0.212747199955906 0.0476346756276563 0.22390271475972 0.473183595192944 198 2 0.0089515962267292 0.00389522681972276
"44" 2 0.487483530961792 0.230879108173417 "110000" 1 0.550434782608696 0.212747199955906 0.0474909006219077 0.223226912653847 0.472468954169316 198 3 0.0316645469485536 0.0217329012762311
"45" 2 0.487483530961792 0.230879108173417 "001000" 1 0.550434782608696 0.212747199955906 0.0493696768339529 0.232057939395607 0.481723924458405 198 2 0.00232035680971227 -0.00276984545146264
"46" 2 0.487483530961792 0.230879108173417 "101000" 1 0.550434782608696 0.212747199955906 0.049382617464545 0.232118765721852 0.481787054331944 198 3 0.00984805318280251 -0.000307351399938094
"47" 2 0.487483530961792 0.230879108173417 "011000" 1 0.550434782608696 0.212747199955906 0.0489470445240592 0.230071392404713 0.479657578283418 198 3 0.0119449856096697 0.00181108802617924
