"dataset" "k_fold" "response_mean" "response_sd" "num_training_samples" "superset_num_coefficients" "subset_predictors" "superset_predictors" "added_predictor" "predictor_coefficient" "predictor_pvalue" "anova_pvalue" "superset_mse" "superset_test_sd" "mse_diff" "mse_ratio" "std_mse_diff" "std_mse_ratio" "superset_r_sq" "superset_r_sq_adj" "r_sq_diff" "r_sq_ratio" "r_sq_adj_diff" "r_sq_adj_ratio"
"16" 1 2 2522.27901209678 1083.21168153575 1488 3 "100" "110" "CAC" 0.500006095093602 1.18916171038777e-176 12955600.9284167 11288.0302394106 1091.91497835923 9097.87408074334 1.80597534625478 8.33203524180457 1.80597534625478 0.989652471533565 0.98963853546829 0.00742540119694213 1.00755976028476 0.0074234253804315 1.00755784074607
"17" 1 2 2522.27901209678 1083.21168153575 1488 3 "100" "101" "FTSE" -0.328828562726155 1.44186642402197e-35 3073381.40965123 17924.4171256083 1091.91497835923 2461.48719454564 1.13732592682353 2.25428466806492 1.13732592682353 0.983988554819201 0.983966990583267 0.00176148448257829 1.00179335770289 0.00175188049540864 1.00178360165448
"18" 1 2 2522.27901209678 1083.21168153575 1488 3 "010" "110" "SMI" 0.483955887950168 0 98743773.0627814 11288.0302394106 1091.91497835923 65267.4029034774 6.78200106831796 59.7733378486592 6.78200106831796 0.989652471533565 0.98963853546829 0.0565942201170112 1.06065454116192 0.0566253323347671 1.06069081567612
"19" 1 2 2522.27901209678 1083.21168153575 1488 3 "010" "011" "FTSE" 0.625158145451948 0 88994296.9042348 18304.3188001959 1091.91497835923 58251.114342692 4.18236996298756 53.3476648797542 4.18236996298756 0.984064635636393 0.984043173866207 0.05100638421984 1.05466580906648 0.0510299707326839 1.05469372840738
"20" 1 2 2522.27901209678 1083.21168153575 1488 4 "110" "111" "FTSE" -0.0084739881845917 0.718950480166489 1575.93843597546 11276.3558542997 1091.91497835923 11.6743851108986 1.00103529768497 0.0106916612944001 1.00103529768497 0.989653374770336 0.989632458412055 9.03236771043758e-07 1.00000091268076 -6.07705623523191e-06 0.999993859317299
"21" 1 2 2522.27901209678 1083.21168153575 1488 3 "001" "101" "SMI" 0.841039006693847 0 58294695.7170877 17924.4171256083 1091.91497835923 38740.9266212493 3.16134931193388 35.4798014397271 3.16134931193388 0.983988554819201 0.983966990583267 0.0334111482550847 1.03514826675278 0.0334228428303461 1.0351617995959
"22" 1 2 2522.27901209678 1083.21168153575 1488 3 "001" "011" "CAC" 0.848502535520392 0 58427439.0773065 18304.3188001959 1091.91497835923 38361.0249466616 3.09573627761832 35.1318790445618 3.09573627761832 0.984064635636393 0.984043173866207 0.0334872290722774 1.03522830317766 0.0334990261132858 1.03524194661813
"23" 1 2 2522.27901209678 1083.21168153575 1488 4 "101" "111" "CAC" 0.497010218689475 6.83020672068364e-143 9883795.45720143 11276.3558542997 1091.91497835923 6648.0612713086 1.58955759796936 6.08844223503405 1.58955759796936 0.989653374770336 0.989632458412055 0.00566481995113488 1.00575699780591 0.00566546782878763 1.00575778240836
"24" 1 2 2522.27901209678 1083.21168153575 1488 4 "011" "111" "SMI" 0.489875908199507 2.35061346171270e-141 9751052.09698258 11276.3558542997 1091.91497835923 7027.96294589625 1.6232477084533 6.43636463019939 1.6232477084533 0.989653374770336 0.989632458412055 0.0055887391339422 1.00567923989091 0.00558928454584795 1.00567991800999
"25" 1 3 2522.43594758065 1079.09805259035 1488 2 "000" "100" "SMI" 0.647908600881583 0 1700016713.92358 18874.0958370596 1108.14360333038 1207496.71617631 64.9764005969159 1089.6572543011 64.9764005969159 0.981794071088574 0.981781819454044 0.981794071088574 Inf 0.981781819454044 Inf
"26" 1 3 2522.43594758065 1079.09805259035 1488 2 "000" "010" "CAC" 1.80845130312874 0 1616036960.78982 80026.4419930393 1108.14360333038 1146344.37002033 15.3245699980019 1034.4727583818 15.3245699980019 0.933294063386934 0.933249173792982 0.933294063386934 Inf 0.933249173792982 Inf
"27" 1 3 2522.43594758065 1079.09805259035 1488 2 "000" "001" "FTSE" 1.08457474719149 0 1644235383.66585 53642.0099755183 1108.14360333038 1172728.80203785 22.8621338494414 1058.28233679585 22.8621338494414 0.949579223507414 0.949545292971416 0.949579223507414 Inf 0.949545292971416 Inf
"28" 1 3 2522.43594758065 1079.09805259035 1488 3 "100" "110" "CAC" 0.515982550317687 1.03938060760779e-190 13952923.6940354 12563.6765927212 1108.14360333038 6310.4192443384 1.5022748872726 5.69458617581084 1.5022748872726 0.9898521670149 0.989838499899769 0.008058095926327 1.00820752147891 0.0080566804457255 1.0082061821538
"29" 1 3 2522.43594758065 1079.09805259035 1488 3 "100" "101" "FTSE" -0.340349265811686 1.3291161301812e-37 3302047.0873133 17028.3539145346 1108.14360333038 1845.74192252499 1.10839226925801 1.66561618636597 1.10839226925801 0.983701070135246 0.983679118714553 0.00190699904667258 1.00194236154284 0.00189729926050919 1.00193250600379
"30" 1 3 2522.43594758065 1079.09805259035 1488 3 "010" "110" "SMI" 0.477498699722713 0 97932676.8277971 12563.6765927212 1108.14360333038 67462.7654003181 6.36966746178446 60.8790820951071 6.36966746178446 0.9898521670149 0.989838499899769 0.0565581036279663 1.06060051793613 0.0565893261067871 1.0606368885137
"31" 1 3 2522.43594758065 1079.09805259035 1488 3 "010" "011" "FTSE" 0.618352872992626 0 88459097.8357832 20340.3716198565 1108.14360333038 59686.0703731829 3.93436479375415 53.8613138169134 3.93436479375415 0.984380983343487 0.984359947630818 0.0510869199565529 1.05473828877809 0.0511107738378365 1.05476648174261
"32" 1 3 2522.43594758065 1079.09805259035 1488 4 "110" "111" "FTSE" -0.00656177871737176 0.777534032786927 945.471541788429 12552.6774878115 1108.14360333038 10.9991049096843 1.00087623576089 0.00992570356100764 1.00087623576089 0.989852713043858 0.989832199660523 5.46028957493228e-07 1.00000055162677 -6.30023924563794e-06 0.999993635083656
"33" 1 3 2522.43594758065 1079.09805259035 1488 3 "001" "101" "SMI" 0.845815227534562 0 59083377.345043 17028.3539145346 1108.14360333038 36613.6560609837 3.15015827394402 33.0405336916137 3.15015827394402 0.983701070135246 0.983679118714553 0.0341218466278325 1.0359336491186 0.0341338257431368 1.03594754878551
"34" 1 3 2522.43594758065 1079.09805259035 1488 3 "001" "011" "CAC" 0.858392287111519 0 60260674.9597511 20340.3716198565 1108.14360333038 33301.6383556619 2.63721877741666 30.0517354028649 2.63721877741666 0.984380983343487 0.984359947630818 0.0348017598360735 1.0366496643719 0.0348146546594025 1.03666455398926
"35" 1 3 2522.43594758065 1079.09805259035 1488 4 "101" "111" "CAC" 0.513663279043845 6.55940808794117e-155 10651822.0782638 12552.6774878115 1108.14360333038 4475.67642672309 1.35655153500669 4.03889569300588 1.35655153500669 0.989852713043858 0.989832199660523 0.00615164290861192 1.00625356939763 0.00615308094597067 1.00625517084678
"36" 1 3 2522.43594758065 1079.09805259035 1488 4 "011" "111" "SMI" 0.482080218572487 3.66433016612725e-141 9474524.4635557 12552.6774878115 1108.14360333038 7787.69413204494 1.62040103711791 7.02769398175474 1.62040103711791 0.989852713043858 0.989832199660523 0.00547172970037091 1.00555854876614 0.00547225202970503 1.00555919818038
"37" 1 4 2533.00728494624 1086.04456173795 1488 2 "000" "100" "SMI" 0.645347368588166 0 1723285751.52738 21298.8521304696 1081.17733408581 1144641.36176304 54.7419272527623 1058.698999393 54.7419272527623 0.982541806012788 0.982530057564614 0.982541806012788 Inf 0.982530057564614 Inf
"38" 1 4 2533.00728494624 1086.04456173795 1488 2 "000" "010" "CAC" 1.8017505179956 0 1637022262.20008 76343.9986744034 1081.17733408581 1089596.21521911 15.2721921059713 1007.78677176063 15.2721921059713 0.933358155233173 0.933313308769669 0.933358155233173 Inf 0.933313308769669 Inf
"39" 1 4 2533.00728494624 1086.04456173795 1488 2 "000" "001" "FTSE" 1.08121255904205 0 1667104526.04438 55005.0628647505 1081.17733408581 1110935.15102876 21.1969617553276 1027.52353014144 21.1969617553276 0.950509740117072 0.95047643576991 0.950509740117072 Inf 0.95047643576991 Inf
"40" 1 4 2533.00728494624 1086.04456173795 1488 3 "100" "110" "CAC" 0.495696489085346 1.05139805614379e-176 12795778.7403777 11840.488211458 1081.17733408581 9458.3639190116 1.7988153655572 8.74820773690112 1.7988153655572 0.989837396742165 0.98982370973441 0.00729559072937702 1.00742522169004 0.00729365216979683 1.00742333744769
"41" 1 4 2533.00728494624 1086.04456173795 1488 3 "100" "101" "FTSE" -0.341074312067033 2.38701048740173e-39 3354515.06896042 19598.3010297972 1081.17733408581 1700.55110067245 1.08677033269807 1.57286972919235 1.08677033269807 0.984454403091498 0.984433466260645 0.00191259707870983 1.00194658086506 0.00190340869603101 1.00193725238366
"42" 1 4 2533.00728494624 1086.04456173795 1488 3 "010" "110" "SMI" 0.481479245696581 0 99059268.0676767 11840.488211458 1081.17733408581 64503.5104629453 6.4477069957745 59.6604353692693 6.4477069957745 0.989837396742165 0.98982370973441 0.0564792415089921 1.06051186373883 0.0565104009647414 1.06054815723054
"43" 1 4 2533.00728494624 1086.04456173795 1488 3 "010" "011" "FTSE" 0.619943400206059 0 88554418.6054737 16847.7175560961 1081.17733408581 59496.2811183073 4.53141491838338 55.029160566536 4.53141491838338 0.983847993212694 0.983826239668199 0.0504898379795211 1.05409481633222 0.0505129308985303 1.05412215857622
"44" 1 4 2533.00728494624 1086.04456173795 1488 4 "110" "111" "FTSE" -0.032325191984395 0.1631648762608 23349.6169928461 11898.8892342639 1081.17733408581 -58.4010228058469 0.995091892893861 -0.0540161368210956 0.995091892893861 0.989850709667679 0.989830192234393 1.33129255143194e-05 1.00001344960855 6.48249998258521e-06 1.00000654914599
"45" 1 4 2533.00728494624 1086.04456173795 1488 3 "001" "101" "SMI" 0.8435449831821 0 59535740.5519556 19598.3010297972 1081.17733408581 35406.7618349534 2.80662404262089 32.7483389807571 2.80662404262089 0.984454403091498 0.984433466260645 0.0339446629744259 1.03571206221437 0.0339570304907347 1.03572632546459
"46" 1 4 2533.00728494624 1086.04456173795 1488 3 "001" "011" "CAC" 0.847147763277505 0 58472154.7611699 16847.7175560961 1081.17733408581 38157.3453086544 3.26483766608776 35.2924021857325 3.26483766608776 0.983847993212694 0.983826239668199 0.0333382530956221 1.03507407834823 0.0333498038982895 1.03508745997609
"47" 1 4 2533.00728494624 1086.04456173795 1488 4 "101" "111" "CAC" 0.484284994832896 1.40584204499758e-139 9464613.28841011 11898.8892342639 1081.17733408581 7699.41179553331 1.64706979315029 7.12132187088768 1.64706979315029 0.989850709667679 0.989830192234393 0.00539630657618151 1.00548152007776 0.00539672597374841 1.00548206268754
"48" 1 4 2533.00728494624 1086.04456173795 1488 4 "011" "111" "SMI" 0.504035781104802 6.33598066522911e-152 10528199.0791958 11898.8892342639 1081.17733408581 4948.82832183221 1.41590674762999 4.57725866591229 1.41590674762999 0.989850709667679 0.989830192234393 0.00600271645498529 1.00610126411437 0.00600395256619368 1.00610265545288
"49" 1 5 2525.18906586021 1072.44360894786 1488 2 "000" "100" "SMI" 0.643051740093074 0 1680807150.49713 24601.1464797661 1134.07364687337 1258811.99531925 52.1688346051108 1109.99140028497 52.1688346051108 0.98278379659494 0.982772210993725 0.98278379659494 Inf 0.982772210993725 Inf
"50" 1 5 2525.18906586021 1072.44360894786 1488 2 "000" "010" "CAC" 1.80575752836694 0 1595623549.38107 82376.8553451327 1134.07364687337 1201036.28645389 15.5797782814351 1059.04611200968 15.5797782814351 0.932976141452759 0.932931037914033 0.932976141452759 Inf 0.932931037914033 Inf
"51" 1 5 2525.18906586021 1072.44360894786 1488 2 "000" "001" "FTSE" 1.0762101002546 0 1628344377.24686 68383.447778944 1134.07364687337 1215029.69402008 18.767891697239 1071.38517623604 18.767891697239 0.952108318174024 0.952076089585985 0.952108318174024 Inf 0.952076089585985 Inf
