"dataset" "response_mean" "response_sd" "predictors" "k_fold" "sse" "test_mean" "test_sd" "mse" "mse_sqrt" "standardized_mse" "standardized_mse_sqrt" "num_training_samples" "num_coefficients" "r_squared" "r_squared_adjusted"
"85" 3 2533.07664650538 1089.02585283455 "001" 5 21084340.6169715 2520.97782258065 1069.08712688766 56678.3349918589 238.072121408322 53.0156369545497 7.28118376052615 1488 2 0.951090346207947 0.951057432578208
"86" 3 2539.9419422043 1085.33839446896 "101" 1 7694728.3641384 2493.51663978495 1083.26919846879 20684.7536670387 143.821951269751 19.0947492057162 4.36975390676823 1488 3 0.984635935413681 0.984615243070804
"87" 3 2508.39395833333 1077.61147235921 "101" 2 7075720.67456294 2619.70857526882 1110.06689096275 19020.7545015133 137.915751462671 17.1347822877743 4.13941810980412 1488 3 0.98406577826866 0.984044318037372
"88" 3 2537.62835349462 1092.63525415494 "101" 3 7147108.408436 2502.77099462366 1053.81612262961 19212.6570119247 138.609729138776 18.2315079446526 4.26983699274956 1488 3 0.984566374782404 0.984545588755175
"89" 3 2534.24350806452 1079.34387138905 "101" 4 6626912.75652149 2516.31037634409 1107.67908710028 17814.2816035524 133.47015248194 16.0825295078805 4.01030291971572 1488 3 0.983881587040908 0.983859878740627
"90" 3 2533.07664650538 1089.02585283455 "101" 5 6263325.99462765 2520.97782258065 1069.08712688766 16836.8978350206 129.757072389217 15.7488547112491 3.96848267115394 1488 3 0.98394936446534 0.983927747447785
"91" 3 2539.9419422043 1085.33839446896 "011" 1 6420619.32324554 2493.51663978495 1083.26919846879 17259.7293635633 131.376289198482 15.9330011302454 3.99161635559399 1488 3 0.983886602416108 0.983864900870541
"92" 3 2508.39395833333 1077.61147235921 "011" 2 6711138.98999082 2619.70857526882 1110.06689096275 18040.6962096527 134.31565884011 16.2519000940621 4.03136454492298 1488 3 0.983830796040274 0.983809019334605
"93" 3 2537.62835349462 1092.63525415494 "011" 3 7230749.95426302 2502.77099462366 1053.81612262961 19437.4998770511 139.418434495052 18.4448685682929 4.29474895288338 1488 3 0.984583818030251 0.984563055495612
"94" 3 2534.24350806452 1079.34387138905 "011" 4 7263910.97130725 2516.31037634409 1107.67908710028 19526.6423959872 139.737762956143 17.6284292295385 4.19862230136726 1488 3 0.984212113993562 0.984190850847426
"95" 3 2533.07664650538 1089.02585283455 "011" 5 7287704.11634983 2520.97782258065 1069.08712688766 19590.602463306 139.966433344949 18.3246079487818 4.28072516622848 1488 3 0.984495766541084 0.98447488541858
"96" 3 2539.9419422043 1085.33839446896 "111" 1 4681902.75325511 2493.51663978495 1083.26919846879 12585.7600893954 112.186274068602 11.6183125184262 3.4085645832852 1488 4 0.989960705216699 0.989940410146383
"97" 3 2508.39395833333 1077.61147235921 "111" 2 4351018.50701115 2619.70857526882 1110.06689096275 11696.2863091697 108.149370359562 10.5365599175971 3.24600676487235 1488 4 0.989639435917192 0.989618491380636
"98" 3 2537.62835349462 1092.63525415494 "111" 3 4615684.18681346 2502.77099462366 1053.81612262961 12407.7531903588 111.390094668955 11.7741159239408 3.43134316615822 1488 4 0.990085865773525 0.990065823723202
"99" 3 2534.24350806452 1079.34387138905 "111" 4 4334002.02761927 2516.31037634409 1107.67908710028 11650.543084998 107.937681487968 10.5179769309333 3.24314306359329 1488 4 0.989674685586144 0.989653812309027
"100" 3 2533.07664650538 1089.02585283455 "111" 5 4487620.69949905 2520.97782258065 1069.08712688766 12063.4965040297 109.833949687834 11.2839227043628 3.3591550581006 1488 4 0.989930339376831 0.989909982920045
"101" 4 123.150326797386 24.1856229699616 "0000000" 1 34142.2211969755 121.435897435897 29.9242859227953 875.441569153219 29.5878618550449 29.2552200380607 5.40880948435612 153 1 0 0
"102" 4 121.385620915033 24.5174814600689 "0000000" 2 32047.4530308856 128.358974358974 28.1681858424929 821.729564894502 28.6658257319496 29.1722572937192 5.40113481536234 153 1 0 0
"103" 4 123.811688311688 25.6624059311812 "0000000" 3 22466.646230393 118.710526315789 24.093183845719 591.227532378763 24.3151708276698 24.5392031275192 4.95370599930186 154 1 0 0
"104" 4 123.727272727273 26.3826227041335 "0000000" 4 16700.2809917355 119.052631578947 20.7102890846242 439.481078729882 20.9638040138206 21.2204222226991 4.60656295112734 154 1 0 0
"105" 4 121.928571428571 26.0537672166836 "0000000" 5 19320.7653061225 126.342105263158 22.4093082925552 508.441192266381 22.5486405857733 22.6888391925642 4.76328029750132 154 1 0 0
"106" 4 123.150326797386 24.1856229699616 "1000000" 1 6991.92036109503 121.435897435897 29.9242859227953 179.280009258847 13.3895485084019 5.99112071450559 2.44767659516236 153 2 0.787359052451393 0.785950834255707
"107" 4 121.385620915033 24.5174814600689 "1000000" 2 6555.54602570555 128.358974358974 28.1681858424929 168.09092373604 12.9649883816392 5.96740324974948 2.44282689721345 153 2 0.78763170325808 0.786225290696875
"108" 4 123.811688311688 25.6624059311812 "1000000" 3 5153.94264043104 118.710526315789 24.093183845719 135.630069485027 11.6460323494754 5.6293958637238 2.37263479358366 154 2 0.794536048740049 0.793184312218602
"109" 4 123.727272727273 26.3826227041335 "1000000" 4 3579.0471875581 119.052631578947 20.7102890846242 94.1854523041607 9.7049189746314 4.5477613527899 2.13254808920922 154 2 0.790550914076535 0.78917295956388
"110" 4 121.928571428571 26.0537672166836 "1000000" 5 4371.74044208969 126.342105263158 22.4093082925552 115.045801107623 10.7259405698346 5.13383990285161 2.26579785127703 154 2 0.791416061006794 0.79004379825026
"111" 4 123.150326797386 24.1856229699616 "0100000" 1 16875.2131907452 121.435897435897 29.9242859227953 432.697774121673 20.8013887546402 14.4597526984615 3.80259815106218 153 2 0.495649235524508 0.492309164236591
"112" 4 121.385620915033 24.5174814600689 "0100000" 2 16308.1250419912 128.358974358974 28.1681858424929 418.15705235875 20.4488887805364 14.8450118405546 3.85292250642997 153 2 0.503978015175695 0.500693101368912
"113" 4 123.811688311688 25.6624059311812 "0100000" 3 12998.698889415 118.710526315789 24.093183845719 342.071023405658 18.4951621621887 14.1978339432478 3.76800131943286 154 2 0.516249796865519 0.513067229739634
"114" 4 123.727272727273 26.3826227041335 "0100000" 4 7903.08663218672 119.052631578947 20.7102890846242 207.975964004914 14.4213717795816 10.0421564930892 3.16893617687217 154 2 0.495738505637993 0.492420995806664
"115" 4 121.928571428571 26.0537672166836 "0100000" 5 8387.14407209455 126.342105263158 22.4093082925552 220.714317686699 14.8564571041247 9.84922492052217 3.13834748243756 154 2 0.48682772887992 0.483451595517288
"116" 4 123.150326797386 24.1856229699616 "1100000" 1 6965.12592272084 121.435897435897 29.9242859227953 178.592972377457 13.3638681667195 5.96816154070402 2.44298209995571 153 3 0.787579741978577 0.784747471871625
"117" 4 121.385620915033 24.5174814600689 "1100000" 2 6564.84408235881 128.358974358974 28.1681858424929 168.329335445098 12.9741795673213 5.9758671142806 2.44455867474696 153 3 0.788244502514987 0.785421095881853
"118" 4 123.811688311688 25.6624059311812 "1100000" 3 5150.94203057738 118.710526315789 24.093183845719 135.551106067826 11.6426417134526 5.62611844643818 2.37194402261904 154 3 0.794988333852634 0.792272947546046
"119" 4 123.727272727273 26.3826227041335 "1100000" 4 3559.52425850922 119.052631578947 20.7102890846242 93.6716910134005 9.67841366203163 4.52295429728909 2.1267238413318 154 3 0.790821777914772 0.788051205436822
"120" 4 121.928571428571 26.0537672166836 "1100000" 5 4373.70173295777 126.342105263158 22.4093082925552 115.097414025204 10.7283462856679 5.13614309386971 2.26630604594122 154 3 0.791912013727051 0.789155881458535
"121" 4 123.150326797386 24.1856229699616 "0010000" 1 31288.5854113088 121.435897435897 29.9242859227953 802.271420802789 28.3243962125018 26.8100439513461 5.17784163057795 153 2 0.140721713153771 0.135031128472671
"122" 4 121.385620915033 24.5174814600689 "0010000" 2 27890.6001972177 128.358974358974 28.1681858424929 715.143594800453 26.7421688499728 25.3883440985265 5.03868475879634 153 2 0.123132497901171 0.117325428350848
"123" 4 123.811688311688 25.6624059311812 "0010000" 3 18667.1402232714 118.710526315789 24.093183845719 491.240532191353 22.1639466745287 20.3891912059867 4.51543920410702 154 2 0.114839461300505 0.109016036703797
"124" 4 123.727272727273 26.3826227041335 "0010000" 4 15105.5344467215 119.052631578947 20.7102890846242 397.514064387408 19.9377547479 19.1940374546742 4.38110002792383 154 2 0.12878400963721 0.123052325490086
"125" 4 121.928571428571 26.0537672166836 "0010000" 5 16439.3399386822 126.342105263158 22.4093082925552 432.614208912691 20.7993800126997 19.3051121107747 4.39375831274032 154 2 0.11965804500811 0.113866321620006
"126" 4 123.150326797386 24.1856229699616 "1010000" 1 7002.25978275593 121.435897435897 29.9242859227953 179.545122634767 13.3994448629325 5.99998018659474 2.44948569838543 153 3 0.790919075025956 0.788131329359635
"127" 4 121.385620915033 24.5174814600689 "1010000" 2 6475.24140461811 128.358974358974 28.1681858424929 166.031830887644 12.8853339455229 5.89430330430359 2.42781863085025 153 3 0.790240908112986 0.787444120221159
"128" 4 123.811688311688 25.6624059311812 "1010000" 3 4999.32165449347 118.710526315789 24.093183845719 131.561096170881 11.4700085514737 5.46051103139104 2.33677363717392 154 3 0.795977767678903 0.793275486456107
"129" 4 123.727272727273 26.3826227041335 "1010000" 4 3535.89474738222 119.052631578947 20.7102890846242 93.0498617732162 9.64623562708356 4.49292916158753 2.11965307576205 154 3 0.793146461934782 0.790406679973653
"130" 4 121.928571428571 26.0537672166836 "1010000" 5 4429.51970378242 126.342105263158 22.4093082925552 116.566307994274 10.7965877940336 5.20169147893779 2.28072170133442 154 3 0.79478840394392 0.792070369559072
"131" 4 123.150326797386 24.1856229699616 "0110000" 1 16416.6531550165 121.435897435897 29.9242859227953 420.939824487602 20.5168180887681 14.066829383118 3.75057720666007 153 3 0.507069229981284 0.500496819714368
"132" 4 121.385620915033 24.5174814600689 "0110000" 2 15730.6018187805 128.358974358974 28.1681858424929 403.348764584116 20.0835446220062 14.3193021673283 3.78408538055477 153 3 0.512894866775709 0.506400131666052
"133" 4 123.811688311688 25.6624059311812 "0110000" 3 13221.1642702438 118.710526315789 24.093183845719 347.92537553273 18.6527578532701 14.4408218424213 3.8001081356221 154 3 0.532405582534209 0.526212278991616
"134" 4 123.727272727273 26.3826227041335 "0110000" 4 7726.43092938857 119.052631578947 20.7102890846242 203.327129720752 14.2592822302089 9.81768670103722 3.1333187997772 154 3 0.507654039544557 0.501132900995479
"135" 4 121.928571428571 26.0537672166836 "0110000" 5 8004.13531115262 126.342105263158 22.4093082925552 210.635139767174 14.5132746052424 9.39944852457366 3.06585200630651 154 3 0.497278347386791 0.490619782451517
"136" 4 123.150326797386 24.1856229699616 "1110000" 1 6912.96507892956 121.435897435897 29.9242859227953 177.255514844348 13.3137340684102 5.92346682228833 2.43381733544001 153 4 0.795823954156908 0.791713027059396
